Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,Latitude,Longitude
98,Borovets,Bulgaria,2560,1300,28,24,29,5,58,Yes,Yes,8,4,2,14,15800,160,42.27066750000000,23.6056165
99,Font-Romeu-​Bolquère Pyrénées 2000,France,2213,1650,38,30,19,9,58,Yes,No,15,8,1,24,27378,535,42.5211905,2.0588606
100,Oppdal,Norway,1300,585,44,40,7,9,56,No,No,1,0,0,1,0,0,62.5941815,9.6912337
101,Brévent-​Flégère-Chamonix-,France,2525,1030,51,11,25,20,56,Yes,No,6,8,5,19,26734,0,45.95008,6.86601
102,Les Houches-​Saint-Gervais-Prarion-​Bellevue-Chamonix-,France,1000,584,43,25,25,5,55,Yes,No,5,8,3,16,19859,133,45.894556,6.782808000000000
103,Ylläs,Finland,718,200,42,21,28,6,55,Yes,Yes,27,1,1,29,28284,36,67.5666667,24.2333333
104,Belvedere-​Col Rodella-​Ciampac-​Buffaure-Canazei-​Campitello-​Alba-​Pozza di Fassa,Italy,2428,1320,48,7,40,7,55,Yes,Yes,11,18,10,39,56216,0,46.45,11.78
105,Lauchernalp-Lötschental,Switzerland,3111,1419,48,20,17,18,55,Yes,No,2,2,2,6,6800,28,46.4135439,7.775682500000000
106,Grossglockner Heiligenblut,Austria,2989,1301,44,20,34,1,55,No,No,8,1,4,13,12500,60,47.07418510000000,12.6946761
107,Brandnertal-Brand-​Bürserberg,Austria,2000,904,46,22,30,3,55,Yes,Yes,6,6,3,15,18963,82,47.1166667,9.75
108,Alpe du Grand-Serre-La Morte,France,2184,1367,27,36,17,2,55,Yes,No,12,3,0,15,13486,0,45.02406200000000,5.852121000000000
109,Les Angles,France,2376,1600,38,22,23,10,55,Yes,Yes,15,4,1,20,21787,363,42.5772819,2.073585
110,Kopaonik,Serbia,2017,1057,30,30,19,6,55,Yes,Yes,14,13,0,27,35052,315,43.2680447,20.8263088
111,Aussois,France,2750,1500,29,30,22,3,55,Yes,No,4,4,0,8,9228,130,45.227947,6.741517
112,First-Grindelwald,Switzerland,2501,1050,55,30,15,8,53,Yes,No,3,3,3,9,12720,38,46.660556,8.053611
113,Sörenberg-Rothorn-​Dorf,Switzerland,2350,1110,44,30,15,8,53,Yes,Yes,12,3,2,17,20930,0,46.8076747,8.059672600000000
114,Riserva Bianca-Limone Piemonte,Italy,2060,1046,34,11,35,5,52,No,No,5,11,1,17,20655,0,44.2015205,7.5772808
115,Gitschberg Jochtal,Italy,1354,772,46,17,25,9,51,Yes,No,14,4,6,24,23617,90,46.846456,11.684132
116,Schilthorn-Mürren-​Lauterbrunnen,Switzerland,2970,796,55,19,23,9,51,Yes,No,3,7,6,16,13852,38,46.33186,7.54062
117,Pila,Italy,1540,570,42,8,35,6,50,Yes,No,5,8,4,17,22154,480,45.43419,7.17108
118,Brigels-​Waltensburg-​Andiast,Switzerland,2418,1110,49,13,33,3,50,Yes,Yes,9,4,0,13,10030,100,46.783238,9.111596600000000
119,Aprica,Italy,2270,1162,38,28,14,7,50,Yes,No,10,4,2,16,13965,0,46.1539586,10.1523763
120,Bormio-Cima Bianca,Italy,3012,1225,40,14,34,2,50,Yes,Yes,8,5,2,15,17630,240,46.4653719,10.371375
121,Sedrun-Oberalp,Switzerland,2300,1500,53,10,35,5,50,Yes,No,7,5,0,12,12100,0,46.6583992,8.671018
122,Grosseck-​Speiereck-Mauterndorf-​St. Michael,Austria,2400,1095,41,26,17,7,50,No,Yes,6,4,2,12,14286,150,47.134432,13.6839228
123,Hirmentaz-​Les Habères-Bellevaux-​Habère-Poche,France,1610,923,24,30,17,3,50,Yes,No,27,6,0,33,29480,0,46.24472070000000,6.4718469
124,Pragelato,Italy,2700,1335,0,14,32,4,50,No,No,4,1,0,5,3660,0,44.9858525,6.9356143
125,Porté Puymorens,France,2471,1600,30,21,20,9,50,Yes,No,5,4,0,9,7380,70,42.548043,1.832127
126,Mythenregion,Switzerland,1070,573,39,18,31,1,50,Yes,No,11,0,4,15,12592,55,47.0147373,8.6692472
127,Candanchú,Spain,2236,1514,41,15,18,15,50,No,No,19,6,0,25,19650,0,42.7866609,-0.5373330000000000
128,Zugspitze,Germany,2000,700,45,7,13,0,20,No,No,4,2,4,10,13150,0,47.421066,10.9853652
129,Lindvallen-​Högfjället-Sälen-,Sweden,887,579,41,22,17,3,42,Yes,Yes,49,4,0,53,50505,0,61.1573759,13.1157954
130,Jasná Nízke Tatry-Chopok,Slovakia,2004,943,39,19,17,7,44,Yes,Yes,19,8,5,32,35225,527,48.9469785,19.5383283
131,Tandådalen-​Hundfjället-Sälen-,Sweden,872,572,41,18,15,12,45,Yes,Yes,42,4,0,46,42636,0,61.1757252,12.9993924
132,Sheregesh-Kemerovo,Siberia,1270,670,0,0,0,0,0,No,No,3,5,4,12,19919,0,52.9291479,87.9831585
133,Gazprom Mountain Resort-Laura-– Esto-Sadok-Sotschi-,Southern Russia,949,547,32,7,10,2,20,No,Yes,6,6,6,18,27874,0,43.6839464,40.2602574
134,Steinplatte-​Winklmoosalm-Waidring-​Reit im Winkl,Austria,1860,740,46,18,22,2,42,Yes,No,3,9,2,14,31940,107,47.6571987,12.5843773
135,Rigi,Switzerland,1315,439,44,4,4,0,9,No,No,4,0,3,7,6500,0,47.055985,8.485160600000000
136,Métabief,France,1420,1000,26,19,18,2,40,No,No,20,8,0,28,24745,0,46.773705,6.350552
137,Latemar-Obereggen-​Pampeago-​Predazzo,Italy,1540,1050,47,9,32,7,48,Yes,Yes,6,13,3,22,36540,200,46.3835029,11.5266771
138,Mariborsko Pohorje-Maribor,Slovenia,1327,325,31,23,13,5,41,No,Yes,16,5,1,22,23436,92,46.5331695,15.5995804
139,Praz de Lys-​Sommand-Taninges-​Mieussy-,France,1966,1240,29,22,16,6,45,Yes,No,18,6,0,24,26205,60,46.1490749,6.592767300000000
140,Espace Dôle-La Dôle-​Les Tuffes,France,1678,1137,27,17,8,2,28,Yes,No,18,3,0,21,19380,0,46.4254,6.0995799
141,Kreischberg,Austria,2118,868,44,17,16,9,42,Yes,No,7,4,3,14,18808,110,47.0990966,14.0856984
142,Garmisch-Classic-Garmisch-Partenkirchen,Germany,2050,732,43,12,18,10,40,Yes,No,11,4,4,19,21090,0,47.46330260000000,11.0939807
143,Aiguille du Midi-Chamonix-,France,3842,1035,60,0,0,0,0,No,No,0,0,5,5,4820,0,45.8793111,6.887424300000000
144,Carezza Ski,Italy,2337,1200,41,21,14,3,40,Yes,No,13,5,2,20,19200,175,46.407637,11.591153
145,Pizol-Bad Ragaz-​Wangs,Switzerland,510,490,51,14,21,8,43,Yes,Yes,5,4,2,11,12786,62,47.0034141,9.501106200000000
146,SuperBesse-Puy de Sancy,France,1850,1300,32,30,9,4,43,Yes,Yes,16,5,1,22,21245,299,45.528387,2.81393
147,Stöten,Sweden,830,443,41,26,3,3,32,No,No,17,2,0,19,19250,0,61.15984,12.53320
148,Fellhorn-​Kanzelwand-Oberstdorf-​Riezlern,Austria,1967,920,45,13,19,2,34,Yes,Yes,7,6,4,17,22076,110,47.3523121,10.2627787
149,Idre Fjäll,Sweden,890,588,40,17,22,2,41,Yes,Yes,21,4,0,25,24760,0,61.8579343,12.7258737
150,Großglockner Resort Kals-Matrei,Austria,2422,933,47,8,22,6,37,Yes,No,9,5,3,17,18276,0,47.0082373,12.6377254
151,Pamporovo,Bulgaria,1926,1620,28,17,6,5,29,Yes,Yes,6,7,0,13,14266,130,41.6567751,24.6953599
152,Abetone-​Val di Luce,Italy,1892,1240,30,14,28,1,44,Yes,No,6,10,1,17,24056,110,44.1447291,10.633701
153,Gerlitzen,Austria,1000,520,45,10,27,3,41,Yes,No,10,7,1,18,22220,120,46.6941667,13.9166667
154,Paganella-Andalo,Italy,2125,1030,40,9,22,1,33,Yes,Yes,4,12,2,18,23996,0,46.1636792,11.0034759
155,Melchsee-Frutt-Kerns-,Switzerland,2255,1080,44,20,6,10,36,Yes,Yes,5,4,2,11,14150,110,46.77385,8.26838
156,Vall de Núria,Spain,1964,912,30,4,2,1,7,No,No,3,1,2,6,4840,0,42.4001488,2.1499704
157,Arêches-Beaufort-,France,2300,1050,29,15,20,15,50,Yes,No,9,5,0,14,14462,45,45.717714,6.5751759
158,Špindlerův Mlýn,Czech Republic,1235,702,34,8,13,2,24,Yes,Yes,17,6,0,23,21638,0,50.7261499,15.6094494
159,Les Mosses-​La Lécherette,Switzerland,1870,1445,31,10,30,0,40,No,No,14,0,0,14,10540,0,46.4198828,7.1066404
160,Cimone-Montecreto-​Sestola-​Le Polle,Italy,1976,900,35,15,25,10,50,Yes,No,6,13,1,20,23746,0,44.2489389,10.7190938
161,Luchon Superbagnères,France,1440,635,34,16,10,6,32,Yes,No,7,5,1,13,15965,180,42.7684481,0.5764634
162,Lélex-​Crozet,France,900,640,28,16,7,4,28,Yes,No,15,2,2,19,16750,120,46.303177,5.940515
163,Alpika Service,Southern Russia,2228,535,0,10,10,5,25,No,No,1,1,7,9,18120,0,43.6760271,40.2835334
164,Sinaia,Romania,880,834,32,3,11,4,20,No,No,2,3,4,9,9864,0,45.3310429,25.5623504
165,Gourette-Eaux Bonnes-,France,2450,1350,38,18,13,4,35,Yes,No,4,5,3,12,19660,158,42.958836,-0.332111
166,Rauriser Hochalmbahnen-Rauris,Austria,2175,940,43,15,12,5,32,Yes,No,6,1,3,10,11927,35,47.223734,12.991193
167,Hoch-Ybrig-Unteriberg-​Oberiberg,Switzerland,1850,1035,46,15,30,5,50,Yes,No,8,5,1,14,16650,0,47.0130545,8.7809058
168,Meran 2000,Italy,1609,648,39,12,25,3,40,Yes,No,3,5,2,10,9478,0,46.6709401,11.2098567
169,Nätschen-Andermatt,Switzerland,2344,1444,44,8,5,8,21,No,No,1,4,2,7,13600,0,46.6458138,8.6090465
170,Albiez-Montrond,France,2200,1500,25,25,7,3,35,No,No,8,5,0,13,10432,0,45.1801989,6.336410800000000
171,Tarvisio-Monte Lussari,Italy,1752,754,35,9,11,5,25,Yes,Yes,5,8,2,15,17354,0,46.4798015,13.5236583
172,Mount Parnassos-Fterolakka-​Kellaria,Greece,2300,1600,30,18,15,3,36,No,No,9,3,5,17,20052,0,38.6216032,22.5761659
173,Moelltal Glacier-Mölltaler Gletscher-,Austria,2108,1222,47,5,7,4,17,Yes,No,2,5,2,9,15610,45,46.9803514,13.0514613
174,Wendelstein-Brannenburg-​Osterhofen,Germany,1723,791,35,0,7,4,11,No,No,2,0,2,4,3250,0,47.742414,12.1040852
175,Glenshee,United Kingdom,900,650,33,24,10,2,36,No,No,18,3,0,21,16255,6,56.79815200000000,-3.426355
176,Sulden am Ortler-Solda all'Ortles-,Italy,3250,1900,41,17,13,14,44,Yes,Yes,4,6,3,13,15418,0,46.5180911,10.596046
177,Poiana Brașov,Romania,1799,1021,32,5,2,5,13,No,Yes,5,2,3,10,11038,145,45.5955044,25.5513291
178,Hinterstoder-Höss,Austria,2000,600,44,12,18,10,40,Yes,No,15,2,2,19,18464,267,47.69639,14.14944
179,St. Jean Montclar,France,2500,1350,28,25,20,5,50,No,No,10,4,0,14,13320,0,44.4098115,6.351650000000000
180,Port del Comte,Spain,2310,1745,33,20,15,5,40,No,No,11,5,0,16,13750,0,42.1727205,1.5626169
181,Tänndalen,Sweden,1038,743,41,20,15,3,38,No,No,15,2,0,17,19270,0,62.54363840000000,12.3325326
182,Feldberg-Seebuck-​Grafenmatt-​Fahl,Germany,1448,888,35,7,14,5,26,Yes,No,9,5,0,14,17624,0,47.8477778,8.020000000000000
183,Pitztal Glacier-Pitztaler Gletscher-,Austria,2685,1740,48,3,16,0,20,Yes,No,3,1,3,7,10935,0,47.1202371,10.7832318
184,Tauplitz-Bad Mitterndorf,Austria,896,812,41,18,18,6,42,No,No,14,4,1,19,18525,135,47.55463,13.9360083
185,Hochoetz-Oetz,Austria,1410,820,37,12,21,3,36,Yes,No,7,6,2,15,17422,89,47.199832,10.903167
186,Rosshütte-Seefeld,Austria,2064,1230,44,10,9,1,20,Yes,Yes,8,3,2,13,12363,208,47.3345085,11.1962965
187,Malbun,Liechtenstein,2000,1600,42,11,9,3,23,Yes,No,6,3,0,9,8800,16,47.1015157,9.6096276
188,Špičák,Czech Republic,1202,854,23,3,3,0,8,Yes,Yes,11,1,0,12,7390,30,49.1579268,13.2269012
189,Riesneralm-Donnersbachwald,Austria,1820,950,40,15,12,3,30,No,No,5,3,0,8,6880,137,47.3686866,14.092122
190,Berwang-​Bichlbach-​Rinnen,Austria,1743,1067,42,24,10,1,36,No,Yes,11,3,1,15,15623,130,47.42021400000000,10.7884838
191,Glungezer-Tulfes,Austria,2304,950,30,7,15,0,23,Yes,No,6,2,0,8,7116,2,47.2564111,11.5355253
192,Fanningberg,Austria,2115,1497,41,11,5,7,24,Yes,No,4,2,0,6,7162,36,47.1693015,13.6932952
193,Turracher Höhe,Austria,2205,1400,45,14,24,3,42,Yes,Yes,12,5,1,18,18268,220,46.914444,13.875
194,Indoor ski area Snow Arena-Druskininkai,Lithuania,163,97,29,1,0,0,1,Yes,Yes,4,1,0,5,2800,16,54.0322016,23.9593755
195,Niedere-Andelsbuch-​Bezau,Austria,1715,655,31,5,4,1,10,No,No,5,2,1,8,6043,2,47.4014207,9.9358972
196,Wurzeralm-Spital am Pyhrn,Austria,1870,810,41,10,10,2,22,No,No,5,2,1,8,9048,57,47.63564,14.28109
197,Präbichl-Vordernberg,Austria,1608,1100,37,6,11,3,20,Yes,No,4,2,0,6,6624,90,47.51692,14.9619512
198,Pfelders-Moos in Passeier-,Italy,2502,1601,33,5,9,4,18,Yes,Yes,4,1,1,6,4300,35,46.795403,11.0890467
199,Mitterdorf-Almberg-– Mitterfirmiansreut,Germany,1139,841,23,2,2,1,6,No,Yes,9,1,0,10,6266,31,48.88233840000000,13.6468544
200,Lavarone,Italy,1650,1150,36,19,5,2,27,No,No,9,6,0,15,12040,70,45.9477771,11.2857605
201,Geißkopf-Bischofsmais,Germany,1116,835,24,1,5,0,8,Yes,Yes,8,1,0,9,6950,16,48.9241667,13.0372222
202,Donovaly-Park Snow-,Slovakia,1361,914,26,5,5,0,11,Yes,Yes,23,1,1,25,13620,30,48.878072,19.235284
203,Indoor ski area Snow Dome Bispingen,Germany,122,90,37,0,0,0,0,Yes,Yes,2,1,0,3,3710,12,53.1039707,9.985309900000000
204,Sudelfeld-Bayrischzell,Germany,1563,850,33,5,24,3,32,Yes,No,10,5,0,15,17477,100,47.6830939,12.0365348
205,Grüntenlifte-Kranzegg-Rettenberg-,Germany,1700,900,31,2,14,0,16,Yes,No,8,1,0,9,7420,12,47.58257,10.32126
206,Grebenzen-St. Lambrecht,Austria,1870,1010,34,2,9,0,12,No,No,6,1,0,7,6790,25,47.072714,14.310545
207,Kirchdorf,Austria,780,640,30,3,2,0,5,No,No,3,1,0,4,3570,6,47.90626,14.11983
208,Nebelhorn-Oberstdorf,Germany,2224,828,44,2,5,4,11,No,No,3,2,3,8,5990,30,47.4218361,10.3422401
209,Lachtal,Austria,2222,1600,41,7,16,2,25,No,No,8,2,0,10,10620,53,47.1894654,14.346014
210,Ramsau am Dachstein-Rittisberg,Austria,1636,1035,36,14,10,1,25,No,No,14,1,0,15,10815,40,47.4225705,13.6230576
211,Eibenstock,Germany,745,650,18,0,0,0,1,Yes,Yes,2,1,0,3,1980,8,50.4949857,12.5996392
212,Bürchen-​Törbel-Moosalp,Switzerland,2550,1480,39,5,15,5,25,No,Yes,8,1,0,9,7470,7,46.251389,7.829722000000000
213,Guzet,France,2100,1100,31,20,14,6,40,Yes,No,11,4,0,15,11130,100,42.779369,1.300805
214,Schetteregg-Egg,Austria,1325,1070,32,3,6,1,10,Yes,No,7,1,0,8,6642,6,47.41696530000000,9.9836748
215,Fichtelberg-Oberwiesenthal,Germany,1215,911,26,6,6,2,15,Yes,Yes,6,2,1,9,7384,141,50.42869150000000,12.9545769
216,Bellwald,Switzerland,1600,1204,45,9,21,6,36,Yes,No,3,2,1,6,4620,26,46.4283572,8.1578316
217,Dry slopes Dayz Søhøjlandets Skicenter,Denmark,100,80,36,0,0,0,0,no report,No,0,0,0,0,0,0,56.167555,9.50023
218,Indoor ski area Skidome Denmark – Randers (planned),Denmark,120,10,0,1,1,1,3,no report,No,0,0,0,0,0,0,56.460584,10.036539
219,Dry slopes Indoorski – Rødovre,Denmark,53,50,0,0,0,0,0,no report,No,0,0,0,0,0,0,55.673514,12.465726
220,Dry slopes Ski Arena – Aarhus,Denmark,23,20,0,0,0,0,0,no report,No,0,0,0,0,0,0,56.1172749,10.1212182
221,Copenhagen (planned),Denmark,0,0,0,0,0,0,0,no report,No,0,0,0,0,0,0,55.6760968,12.5683371
222,Østerlars (Bornholm),Denmark,110,72,18,0,0,0,0,no report,No,0,0,0,0,1220,0,55.164759,14.965579
223,Hoch Hylkedal – Kolding,Denmark,45,20,15,0,0,0,0,no report,No,0,0,0,0,600,0,55.4763889,9.435555600000000
224,Klewenalp-​Stockhütte-Beckenried-​Emmetten,Switzerland,1200,436,45,15,25,0,40,No,No,9,3,2,14,13394,0,46.945224,8.505201
225,Schöneck-Skiwelt-,Germany,760,620,20,1,1,0,3,Yes,Yes,5,1,0,6,4324,16,50.38735520000000,12.3433529
226,Indoor ski area SnowWorld Landgraaf,Netherlands,210,150,42,0,0,0,1,Yes,Yes,10,9,0,19,5231,4,50.8750928,6.022220100000000
227,Štrbské Pleso,Slovakia,1840,1376,35,2,5,0,8,Yes,No,5,3,0,8,7700,52,49.1193882,20.0630114
228,Gaissau-Hintersee,Austria,1567,750,35,23,10,0,34,Yes,No,6,3,0,9,10110,0,47.7145429,13.2210516
229,Kellerjoch-Schwaz,Austria,857,545,29,5,2,2,10,No,No,4,2,0,6,3786,5,47.3166667,11.7666667
230,Hochrindl-Sirnitz,Austria,1886,1540,32,5,11,3,20,Yes,Yes,11,1,0,12,7350,30,46.865869,13.9970388
231,La Bresse-Hohneck,France,1350,872,29,13,7,1,21,No,Yes,12,6,0,18,21515,300,48.0386497,6.973603600000000
232,Silbersattel-Steinach,Germany,842,590,19,2,1,0,4,Yes,No,3,1,0,4,3300,6,50.4363784,11.1353921
233,Lammeralm-Langenwang,Austria,1230,980,29,2,3,2,8,No,No,2,6,3,11,2800,24,47.567476,15.6183116
234,Kitzbüheler Horn,Austria,2000,800,40,6,9,2,17,Yes,No,7,2,0,9,10110,55,47.4666667,12.4166667
235,Myrkdalen,Norway,1060,450,44,13,12,4,30,Yes,Yes,2,4,3,9,10279,32,60.8421897,6.4654232
236,Loser-Altaussee,Austria,1770,850,40,18,12,3,33,Yes,No,3,2,3,8,11114,50,47.65,13.7666667
237,Christlum-Achenkirch,Austria,1800,950,44,6,16,5,27,Yes,No,9,4,0,13,12843,0,47.5064165,11.6837256
238,Grasgehren-Bolgengrat,Germany,1700,1400,25,3,8,0,11,Yes,No,5,1,0,6,5140,10,47.44305870000000,10.1762977
239,Götschen-Bischofswiesen,Germany,1307,880,25,2,1,4,8,No,Yes,2,1,0,3,4000,35,47.6506828,12.964987
240,Torrent-Leukerbad,Switzerland,2610,1411,46,3,26,16,47,Yes,No,8,1,5,14,11390,40,46.373894,7.629133100000000
241,Monte Popolo-Eben im Pongau,Austria,1612,862,36,4,2,0,6,Yes,No,2,2,0,4,4550,55,47.40223660000000,13.3998058
242,Jochgrimm-Passo Oclini-,Italy,2250,1850,17,4,2,1,7,No,No,0,3,5,8,3540,20,46.3472685,11.4515867
243,Alpe Lusia-Moena-​Bellamonte,Italy,2340,1370,47,12,10,4,27,Yes,No,3,3,4,10,16280,0,46.3756741,11.6588957
244,Unternberg-Ruhpolding-,Germany,1417,710,20,1,1,0,2,No,Yes,3,1,0,4,3350,15,47.730556,12.643056
245,Diavolezza-​Lagalb,Switzerland,3006,2091,59,0,21,10,31,No,No,9,2,0,11,3970,20,46.4411111,9.9836111
246,Kubínska hoľa,Slovakia,1396,720,26,2,10,2,14,Yes,No,2,1,2,5,11480,60,49.27416700000000,19.268333
247,Gålå,Norway,1148,800,43,13,5,1,19,Yes,Yes,7,1,0,8,7600,50,61.50571,9.78481
248,Kvitfjell,Norway,1039,185,45,19,10,5,34,Yes,Yes,14,2,0,16,17952,90,61.4708322,10.1369662
249,Molines-en-Queyras-​Saint-Véran,France,2800,1750,29,20,12,1,33,No,No,9,5,0,14,12290,0,44.700836,6.868571000000000
250,Tatranská Lomnica,Slovakia,2190,888,35,5,5,1,11,No,No,3,1,0,4,12480,216,49.16449920000000,20.2822798
251,Kanin-Sella Nevea-​Bovec,Slovenia,1103,460,35,4,6,0,10,No,No,3,4,4,11,11670,0,46.3326589,13.538275
252,Postwiesen Skidorf-Neuastenberg,Germany,730,605,26,3,3,1,8,Yes,Yes,8,1,0,9,6762,23,51.16073550000000,8.4859894
253,Oberjoch-Bad Hindelang-– Iseler,Germany,1559,1130,38,6,24,2,32,Yes,Yes,2,4,0,6,12388,70,47.498611,10.417778
254,Mönichkirchen-​Mariensee,Austria,1450,870,35,5,6,2,13,Yes,No,3,3,0,6,6741,80,47.511512,16.043147
255,Grächen,Switzerland,2864,1619,48,9,31,2,42,No,No,9,5,1,15,13860,0,46.1965853,7.839791100000000
256,Puigmal,France,2700,1830,0,9,15,7,32,No,No,11,2,0,13,11865,0,42.3833277,2.1169203
257,Kranzberg-Mittenwald,Germany,1350,980,29,6,7,2,15,Yes,Yes,9,1,0,10,5850,8,47.452778,11.223889
258,Wetterstein lifts-Wettersteinbahnen-– Ehrwald,Austria,1530,1000,43,15,5,3,23,Yes,No,6,4,0,10,5425,33,47.4074086,10.9284402
259,Stuhleck-Spital am Semmering,Austria,1774,777,42,18,6,0,24,Yes,Yes,7,2,0,9,14400,240,47.5666667,15.7833333
260,Glacier 3000 / Les Diablerets,Switzerland,3016,1343,54,9,3,12,25,Yes,No,4,3,3,10,10260,0,46.3539288,7.205655100000000
261,Rossfeld - Berchtesgaden - Oberau,Germany,1554,1300,20,7,1,0,8,Yes,Yes,4,0,0,4,3229,0,47.6525215,13.0652816
262,Les Arcs /​ Peisey-Vallandry (Paradiski),France,3226,1200,50,104,70,26,200,Yes,Yes,17,27,8,52,82641,793,45.571785,6.8083521
263,Tignes - ​Val d'Isère,France,3456,1550,56,170,78,52,300,Yes,No,33,42,11,86,145461,848,45.448034,6.980226
264,Livigno – Carosello/​Mottolino,Italy,2798,1816,46,30,65,20,115,Yes,Yes,25,13,6,44,50850,0,46.537913,10.1424886
265,Courchevel (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383,45.4051045,6.6316684
266,Les Gets (Les Portes du Soleil),France,2466,1000,51,310,210,60,580,Yes,Yes,89,74,11,174,252280,1074,46.158622,6.669988
267,Avoriaz (Les Portes du Soleil),France,2466,1000,51,310,210,60,580,Yes,Yes,89,74,11,174,252280,1074,46.1931052,6.7733778
268,Châtel (Les Portes du Soleil),France,2466,1000,51,310,210,60,580,Yes,Yes,89,74,11,174,252280,1074,46.2552382,6.8417296
269,Kitzbühel / Kirchberg (KitzSki),Austria,2000,800,55,101,61,17,179,Yes,Yes,15,28,11,54,92510,1102,47.4504928,12.3353943
270,Obergurgl-Hochgurgl,Austria,3082,1793,50,35,55,20,110,Yes,Yes,13,7,8,28,38861,320,46.8702519,11.0269261
271,Hafjell,Norway,1030,195,45,33,7,4,44,Yes,Yes,14,3,1,18,21060,150,61.24160250000000,10.4390615
272,Voss,Norway,960,284,43,25,4,11,40,Yes,No,7,4,0,11,11900,40,60.374328,6.245306
273,Kaunertal Glacier (Kaunertaler Gletscher),Austria,3108,2180,43,14,4,2,21,No,No,6,2,1,9,13200,0,46.9455908,10.7439059
274,Geilosiden Geilo,Norway,1178,800,44,18,12,4,34,Yes,Yes,18,6,0,24,14225,100,60.53365130000000,8.2087948
275,Ski Juwel Alpbachtal Wildschönau,Austria,2025,830,46,25,53,13,93,Yes,Yes,32,7,8,47,52789,294,47.3963593,11.9241718
276,Reither Kogel-Reith im Alpbachtal,Austria,1280,670,46,1,3,0,4,No,Yes,4,0,1,5,4070,0,47.3954602,11.8762582
277,Ellmau (SkiWelt Wilder Kaiser-Brixental),Austria,1957,620,49,122,129,33,284,Yes,Yes,54,35,16,105,147250,1700,47.5031128,12.1908727
278,Westendorf (SkiWelt Wilder Kaiser-Brixental),Austria,1957,620,49,122,129,33,284,Yes,Yes,54,35,16,105,147250,1700,47.5031128,12.1908727
279,Söll (SkiWelt Wilder Kaiser-Brixental),Austria,1957,620,49,122,129,33,284,Yes,Yes,54,35,16,105,147250,1700,47.5031128,12.1908727
280,Kitzsteinhorn - Kaprun,Austria,3029,1978,50,13,25,3,41,Yes,No,5,5,7,17,33598,105,47.1999752,12.7175705
281,Saint Martin de Belleville (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383,45.3271397,6.5782627
282,La Plagne (Paradiski),France,3167,1207,50,139,59,27,225,Yes,No,56,32,12,100,136733,417,45.5077001,6.7047628
283,Schladming (4-Berge-Skischauke),Austria,2015,745,52,46,68,8,123,Yes,Yes,16,20,10,46,71842,600,47.3939887,13.6861309
284,Alpe d'Huez,France,3330,1125,51,70,130,50,250,Yes,Yes,27,21,20,68,92097,963,45.0892442,6.069467300000000
285,Formigal,Spain,2251,1501,44,47,70,20,137,Yes,No,9,11,0,20,29450,440,42.7766544,-0.3595372
286,Axamer Lizum,Austria,2340,1580,38,7,21,2,30,Yes,No,3,6,1,10,13322,0,47.19569,11.30265
287,Bansko,Bulgaria,2560,990,30,20,24,3,48,Yes,Yes,7,8,2,17,24233,380,41.8404241,23.485653
288,Baqueira / ​Beret,Spain,2510,1471,50,79,52,19,150,Yes,No,14,19,2,35,53997,629,42.69914140000000,0.9466542
289,Hochkönig-Maria Alm/​Dienten/​Mühlbach,Austria,1900,800,52,52,41,19,112,Yes,Yes,21,9,5,35,49232,520,47.4065971,12.9044427
290,Bonneval sur Arc,France,3000,1850,28,13,11,1,25,No,No,8,3,0,11,8213,0,45.371599,7.046231
291,Brauneck Lenggries ​Wegscheid,Germany,1712,700,35,8,22,4,34,No,Yes,16,4,1,21,19100,0,47.6749158,11.5544772
292,Brunni - Engelberg,Switzerland,2040,1050,38,2,3,2,7,No,No,3,1,1,5,2577,0,46.84250,8.41040
293,Madonna di Campiglio-​Pinzolo-​Folgàrida-​Marilleva,Italy,2504,770,50,60,68,22,150,Yes,Yes,14,34,17,65,102340,0,46.298418,10.8663748
294,Le Lys - Cauterets,France,1360,932,37,21,12,3,36,Yes,No,6,4,1,11,13038,0,42.8898658,-0.1158609
295,Pont d'Espagne - Cauterets,France,1756,1516,35,3,1,0,4,No,No,2,1,1,4,4150,0,42.8509748,-0.1401344
